电影名,年份,评分,评价人数
肖申克的救赎,1994,9.7,3153558
霸王别姬,1993,9.6,2327833
泰坦尼克号,1997,9.5,2391635
阿甘正传,1994,9.5,2343706
千与千寻,2001,9.4,2435941
美丽人生,1997,9.5,1429436
这个杀手不太冷,1994,9.4,2474834
星际穿越,2014,9.4,2067373
盗梦空间,2010,9.4,2239612
楚门的世界,1998,9.4,1920583
辛德勒的名单,1993,9.5,1206843
忠犬八公的故事,2009,9.4,1493982
海上钢琴师,1998,9.3,1816232
三傻大闹宝莱坞,2009,9.2,2004329
疯狂动物城,2016,9.2,2152563
放牛班的春天,2004,9.3,1422141
机器人总动员,2008,9.3,1429286
无间道,2002,9.3,1499703
控方证人,1957,9.6,663684
大话西游之大圣娶亲,1995,9.2,1651887
熔炉,2011,9.3,1003934
触不可及,2011,9.3,1238218
教父,1972,9.3,1059369
寻梦环游记,2017,9.1,1876837
当幸福来敲门,2006,9.2,1633922
末代皇帝,1987,9.3,982660
龙猫,1988,9.2,1364419
哈利·波特与魔法石,2001,9.2,1352916
怦然心动,2010,9.1,1980133
活着,1994,9.3,931312
蝙蝠侠：黑暗骑士,2008,9.2,1151214
指环王3：王者无敌,2003,9.3,875503
我不是药神,2018,9.0,2275331
乱世佳人,1939,9.3,757363
飞屋环游记,2009,9.1,1441325
让子弹飞,2010,9.0,1850869
哈尔的移动城堡,2004,9.1,1223429
素媛,2013,9.3,748589
十二怒汉,1957,9.4,550356
海蒂和爷爷,2015,9.3,726609
猫鼠游戏,2002,9.1,1150227
天空之城,1986,9.2,968712
摔跤吧！爸爸,2016,9.0,1688056
鬼子来了,2000,9.3,685703
少年派的奇幻漂流,2012,9.1,1444795
钢琴家,2002,9.3,715609
指环王2：双塔奇兵,2002,9.2,823559
大话西游之月光宝盒,1995,9.0,1316598
死亡诗社,1989,9.2,828840
何以为家,2018,9.1,1128841
闻香识女人,1992,9.1,981766
绿皮书,2018,8.9,1813629
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,487079
黑客帝国,1999,9.1,911264
罗马假日,1953,9.1,1015502
指环王1：护戒使者,2001,9.1,923076
教父2,1974,9.3,609747
狮子王,1994,9.1,924126
天堂电影院,1988,9.2,720686
饮食男女,1994,9.2,686999
辩护人,2013,9.2,639180
搏击俱乐部,1999,9.0,927236
本杰明·巴顿奇事,2008,9.0,1065383
美丽心灵,2001,9.1,828815
穿条纹睡衣的男孩,2008,9.2,619078
情书,1995,8.9,1247716
窃听风暴,2006,9.2,612465
两杆大烟枪,1998,9.1,650711
哈利·波特与死亡圣器(下),2011,9.0,930664
音乐之声,1965,9.1,658409
西西里的美丽传说,2000,8.9,1058448
阿凡达,2009,8.8,1525479
功夫,2004,8.9,1272351
看不见的客人,2016,8.8,1388873
哈利·波特与阿兹卡班的囚徒,2004,9.0,847452
拯救大兵瑞恩,1998,9.1,699780
小鞋子,1997,9.2,446862
沉默的羔羊,1991,8.9,976942
飞越疯人院,1975,9.1,585507
布达佩斯大饭店,2014,8.9,1040557
蝴蝶效应,2004,8.9,1025636
禁闭岛,2010,8.9,1070305
致命魔术,2006,8.9,932374
心灵捕手,1997,9.0,786871
低俗小说,1994,8.9,919578
超脱,2011,9.0,688590
哈利·波特与密室,2002,8.9,873081
摩登时代,1936,9.3,332053
喜剧之王,1999,8.8,1052804
致命ID,2003,8.9,908965
杀人回忆,2003,8.9,799345
春光乍泄,1997,9.0,686697
海豚湾,2009,9.3,374835
一一,2000,9.1,463459
美国往事,1984,9.1,453358
加勒比海盗,2003,8.8,933415
红辣椒,2006,9.0,537247
七宗罪,1995,8.8,1018786
唐伯虎点秋香,1993,8.7,1179802
狩猎,2012,9.1,445180
甜蜜蜜,1996,8.9,638314
7号房的礼物,2013,8.9,603308
蝙蝠侠：黑暗骑士崛起,2012,8.9,785403
还有明天,2023,9.4,256481
寄生虫,2019,8.8,1492162
天书奇谭,1983(中国大陆) / 2021,9.2,312789
超能陆战队,2014,8.8,1105764
被嫌弃的松子的一生,2006,8.8,752579
爱在黎明破晓前,1995,8.8,761590
第六感,1999,8.9,612010
重庆森林,1994,8.8,889620
爱在日落黄昏时,2004,8.9,623846
幽灵公主,1997,8.9,571797
入殓师,2008,8.9,724614
剪刀手爱德华,1990,8.7,1095851
断背山,2005,8.8,757193
菊次郎的夏天,1999,8.9,651482
勇敢的心,1995,8.9,591235
未麻的部屋,1997,9.1,400022
哈利·波特与火焰杯,2005,8.8,763186
借东西的小人阿莉埃蒂,2010,8.9,604688
茶馆,1982(中国大陆),9.6,188741
时空恋旅人,2013,8.8,754105
头脑特工队,2015,8.8,756625
消失的爱人,2014,8.7,1039002
倩女幽魂,1987,8.8,809801
无人知晓,2004,9.1,358294
阳光灿烂的日子,1994,8.8,669684
完美的世界,1993,9.1,347278
天使爱美丽,2001,8.7,1000818
小森林 夏秋篇,2014,9.0,458434
驯龙高手,2010,8.8,823282
花样年华,2000,8.8,757721
新世界,2013,8.9,502144
傲慢与偏见,2005,8.7,885151
侧耳倾听,1995,8.9,503926
请以你的名字呼唤我,2017,8.8,793308
一个叫欧维的男人决定去死,2015,8.9,541289
怪兽电力公司,2001,8.8,741051
玩具总动员3,2010,8.9,568922
教父3,1990,9.0,413539
幸福终点站,2004,8.8,619847
色，戒,2007,8.7,917760
哪吒闹海,1979,9.2,294676
小森林 冬春篇,2015,9.0,408069
被解救的姜戈,2012,8.8,664965
九品芝麻官,1994,8.8,760160
釜山行,2016,8.6,1304959
神偷奶爸,2010,8.7,1018181
萤火之森,2011,8.8,588940
告白,2010,8.8,719731
喜宴,1993,9.0,408435
头号玩家,2018,8.6,1469327
玛丽和马克思,2009,9.0,446685
模仿游戏,2014,8.8,701206
大鱼,2003,8.8,608560
七武士,1954,9.3,221752
惊魂记,1960,9.0,337521
射雕英雄传之东成西就,1993,8.7,695467
血战钢锯岭,2016,8.7,835660
我是山姆,2001,9.0,364836
你的名字。,2016,8.5,1541641
阳光姐妹淘,2011,8.8,621779
恐怖直播,2013,8.7,706750
黑客帝国3：矩阵革命,2003,8.8,481717
背靠背，脸对脸,1994,9.5,165481
电锯惊魂,2004,8.7,588126
心灵奇旅,2020,8.7,1091639
三块广告牌,2017,8.7,890577
小丑,2019,8.7,1096685
达拉斯买家俱乐部,2013,8.8,489943
谍影重重3,2007,8.9,453486
疯狂原始人,2013,8.7,896595
绿里奇迹,1999,8.9,372233
无间道2,2003,8.8,541512
爱在午夜降临前,2013,8.9,451192
海街日记,2015,8.8,499619
上帝之城,2002,9.0,323734
英雄本色,1986,8.6,587783
风之谷,1984,8.9,381786
疯狂的石头,2006,8.6,895108
心迷宫,2014,8.7,589260
雨中曲,1952,9.1,255389
2001太空漫游,1968,8.9,374650
纵横四海,1991,8.8,460874
记忆碎片,2000,8.7,649347
卢旺达饭店,2004,8.9,356639
末路狂花,1991,9.0,316025
无敌破坏王,2012,8.7,591723
小偷家族,2018,8.7,874030
高山下的花环,1984(中国大陆) / 1985,9.5,137611
冰川时代,2002,8.6,665686
牯岭街少年杀人事件,1991,8.9,346510
恐怖游轮,2009,8.5,952178
东京教父,2003,9.0,273109
岁月神偷,2010,8.7,602229
忠犬八公物语,1987,9.2,211885
魔女宅急便,1989,8.7,504796
荒蛮故事,2014,8.8,480007
遗愿清单,2007,8.7,514499
大佛普拉斯,2017,8.7,527848
贫民窟的百万富翁,2008,8.6,790467
东邪西毒,1994,8.6,618235
源代码,2011,8.6,898198
你看起来好像很好吃,2010,8.9,361848
疯狂的麦克斯4：狂暴之路,2015,8.7,597217
芙蓉镇,1987,9.3,173574
可可西里,2004,8.9,332712
爆裂鼓手,2014,8.6,664145
城市之光,1931,9.3,164174
